event_id,event_ts,user_id,channel,title,genre,device,watch_minutes,completed,age,gender,city,date,hour
E000018,2026-03-18 21:46:00,U03379,YouTube,Regional Report,Kids,Smart TV,13,False,66,F,Barranquilla,2026-03-18,21
E000019,2026-01-23 06:17:00,U02426,YouTube,Streaming Exclusive 01,News,Smart TV,4,False,49,M,Medellín,2026-01-23,6
E000020,2026-03-03 10:03:00,U03190,TV,Late Night Desk,Entertainment,Desktop,25,False,65,Other,Other,2026-03-03,10
E000021,2026-03-26 21:43:00,U01474,DITU,Streaming Exclusive 01,Novela,Tablet,49,False,28,F,Bogotá,2026-03-26,21
E000022,2026-01-01 09:36:00,U01102,Portal,Prime Novela A,Entertainment,Mobile,22,True,43,F,Bogotá,2026-01-01,9
E000023,2026-03-25 06:22:00,U01436,TV,Portal Catch-up,Entertainment,Radio set,42,False,22,M,Bogotá,2026-03-25,6
E000024,2026-01-19 12:23:00,U00766,Portal,Portal Catch-up,Novela,Smart TV,18,False,62,M,Bogotá,2026-01-19,12
E000025,2026-02-13 08:12:00,U02028,DITU,Streaming Exclusive 02,News,Tablet,1,False,72,F,Barranquilla,2026-02-13,8
E000026,2026-01-24 05:12:00,U04366,DITU,Regional Report,Sports,Mobile,46,False,65,M,Medellín,2026-01-24,5
E000027,2026-01-14 00:07:00,U03894,YouTube,Weekend Special,Entertainment,Smart TV,15,True,27,F,Bogotá,2026-01-14,0
E000028,2026-03-05 04:49:00,U00898,TV,Prime Novela A,News,Tablet,29,False,19,M,Bogotá,2026-03-05,4
E000029,2026-02-13 09:31:00,U02791,YouTube,Talk Show Central,Entertainment,Smart TV,5,True,71,F,Bogotá,2026-02-13,9
E000030,2026-02-15 20:07:00,U00369,Radio,Weekend Special,News,Mobile,79,False,17,M,Other,2026-02-15,20
E000031,2026-02-13 12:34:00,U00298,TV,Streaming Exclusive 02,Novela,Mobile,11,False,41,M,Medellín,2026-02-13,12
E000032,2026-03-09 06:29:00,U03129,TV,Morning News Live,Sports,Desktop,13,False,45,M,Bogotá,2026-03-09,6
E000033,2026-03-28 22:46:00,U01513,TV,Weekend Special,News,Smart TV,22,True,59,M,Other,2026-03-28,22
E000034,2026-02-16 03:47:00,U03522,YouTube,Prime Novela A,Documentary,Smart TV,22,False,35,M,Other,2026-02-16,3
E000035,2026-01-15 00:04:00,U00780,YouTube,Regional Report,News,Desktop,22,False,66,F,Bogotá,2026-01-15,0
E000036,2026-01-30 11:09:00,U00599,Radio,Prime Novela B,Sports,Mobile,52,False,53,F,Bogotá,2026-01-30,11
E000037,2026-02-14 15:25:00,U03576,DITU,Late Night Desk,Kids,Mobile,54,False,56,F,Cali,2026-02-14,15
E000038,2026-01-10 07:54:00,U01035,TV,Kids Club,News,Mobile,9,False,19,M,Barranquilla,2026-01-10,7
E000039,2026-01-21 14:52:00,U00291,TV,Late Night Desk,Sports,Smart TV,4,False,63,M,Bucaramanga,2026-01-21,14
E000040,2026-01-19 05:39:00,U03944,DITU,YouTube Clip Hour,Entertainment,Mobile,31,False,73,F,Bucaramanga,2026-01-19,5
E000041,2026-03-29 13:35:00,U03527,YouTube,Prime Novela B,Kids,Smart TV,19,False,23,F,Bogotá,2026-03-29,13
E000042,2026-02-06 01:41:00,U04648,Radio,Streaming Exclusive 01,Kids,Tablet,58,True,20,M,Bucaramanga,2026-02-06,1
E000043,2026-03-21 02:44:00,U02996,TV,Kids Club,Kids,Desktop,14,False,53,M,Bogotá,2026-03-21,2
E000044,2026-02-19 15:08:00,U02383,Portal,Streaming Exclusive 01,Novela,Smart TV,8,True,70,M,Cali,2026-02-19,15
E000045,2026-02-15 13:09:00,U03353,DITU,Talk Show Central,Kids,Mobile,59,True,22,M,Bogotá,2026-02-15,13
E000046,2026-03-26 11:27:00,U03961,Portal,Prime Novela A,Entertainment,Smart TV,19,True,71,F,Bogotá,2026-03-26,11
E000047,2026-03-04 06:37:00,U03146,Portal,Talk Show Central,Entertainment,Tablet,1,True,48,F,Bogotá,2026-03-04,6
E000048,2026-01-22 13:47:00,U01598,Portal,Prime Novela B,Kids,Mobile,6,True,58,F,Cali,2026-01-22,13
E000049,2026-01-26 08:21:00,U04449,DITU,Late Night Desk,Sports,Mobile,46,False,48,M,Barranquilla,2026-01-26,8
E000050,2026-03-01 22:44:00,U03517,DITU,Weekend Special,News,Mobile,16,False,26,M,Bogotá,2026-03-01,22
E000051,2026-01-01 04:50:00,U04387,TV,Portal Catch-up,Documentary,Smart TV,13,False,31,M,Medellín,2026-01-01,4
E000052,2026-01-14 17:29:00,U02787,TV,Radio Morning Drive,Entertainment,Mobile,13,True,32,M,Bucaramanga,2026-01-14,17
E000053,2026-01-07 16:32:00,U02250,YouTube,Prime Novela B,Sports,Radio set,18,False,40,F,Bogotá,2026-01-07,16
E000054,2026-03-06 05:42:00,U04217,Radio,Regional Report,Novela,Tablet,39,False,44,F,Barranquilla,2026-03-06,5
E000055,2026-02-09 17:18:00,U03059,YouTube,Prime Novela A,Kids,Mobile,25,False,38,M,Barranquilla,2026-02-09,17
E000056,2026-01-02 00:29:00,U03880,DITU,Prime Novela B,Sports,Desktop,30,True,18,F,Medellín,2026-01-02,0
E000057,2026-03-08 17:58:00,U04450,TV,Match Night,Kids,Mobile,22,True,69,F,Other,2026-03-08,17
E000058,2026-03-01 00:47:00,U01421,YouTube,Morning News Live,Sports,Smart TV,14,False,72,F,Bogotá,2026-03-01,0
E000059,2026-03-06 16:15:00,U00966,TV,Weekend Special,Kids,Smart TV,17,True,50,F,Bucaramanga,2026-03-06,16
E000060,2026-01-15 16:33:00,U00748,TV,Morning News Live,Entertainment,Desktop,5,False,34,F,Bucaramanga,2026-01-15,16
E000061,2026-03-20 17:52:00,U03000,TV,Kids Club,Entertainment,Desktop,20,True,55,M,Bogotá,2026-03-20,17
E000062,2026-01-17 05:30:00,U04039,Portal,Prime Novela B,Kids,Mobile,10,False,34,M,Medellín,2026-01-17,5
E000063,2026-02-21 09:04:00,U04882,DITU,Radio Morning Drive,Kids,Mobile,35,False,74,F,Medellín,2026-02-21,9
E000064,2026-02-20 07:14:00,U00164,Radio,Regional Report,Kids,Smart TV,28,False,39,M,Bogotá,2026-02-20,7
E000065,2026-01-20 16:26:00,U00009,DITU,Morning News Live,Documentary,Smart TV,46,True,27,M,Cali,2026-01-20,16
E000066,2026-02-03 18:53:00,U03396,YouTube,Prime Novela B,Kids,Mobile,9,True,62,M,Bucaramanga,2026-02-03,18
E000067,2026-01-05 16:44:00,U01348,Portal,Portal Catch-up,Novela,Mobile,1,True,57,M,Barranquilla,2026-01-05,16
E000068,2026-02-12 10:01:00,U02380,Radio,Morning News Live,Novela,Desktop,27,True,54,F,Medellín,2026-02-12,10
E000069,2026-03-02 22:33:00,U00394,TV,Late Night Desk,News,Smart TV,10,True,51,F,Cali,2026-03-02,22
E000070,2026-01-28 19:11:00,U00377,TV,Regional Report,News,Desktop,48,False,59,M,Bogotá,2026-01-28,19
E000071,2026-02-18 09:34:00,U02641,TV,Streaming Exclusive 01,Entertainment,Tablet,25,False,30,F,Cali,2026-02-18,9
E000072,2026-03-27 19:29:00,U03443,DITU,Prime Novela B,Documentary,Smart TV,50,False,42,F,Bogotá,2026-03-27,19
E000073,2026-01-22 02:46:00,U04432,TV,Radio Morning Drive,Sports,Smart TV,23,False,21,M,Barranquilla,2026-01-22,2
E000074,2026-01-27 03:49:00,U02415,YouTube,Match Night,Kids,Mobile,26,False,37,F,Bogotá,2026-01-27,3
E000075,2026-01-11 19:11:00,U03228,DITU,Prime Novela A,Sports,Mobile,15,False,38,M,Bogotá,2026-01-11,19
E000076,2026-02-18 18:49:00,U04301,Radio,Radio Morning Drive,Documentary,Mobile,24,False,32,M,Medellín,2026-02-18,18
E000077,2026-01-19 08:17:00,U02160,Portal,Streaming Exclusive 02,Entertainment,Smart TV,29,True,35,F,Bogotá,2026-01-19,8
E000078,2026-03-18 21:24:00,U01044,YouTube,YouTube Clip Hour,Sports,Mobile,7,True,37,M,Bogotá,2026-03-18,21
E000079,2026-01-27 04:26:00,U04128,YouTube,Portal Catch-up,Documentary,Mobile,6,True,21,M,Cali,2026-01-27,4
E000080,2026-03-01 18:37:00,U00012,TV,YouTube Clip Hour,Documentary,Radio set,18,False,73,M,Medellín,2026-03-01,18
E000081,2026-01-18 00:42:00,U01380,TV,Radio Morning Drive,News,Mobile,48,False,47,F,Medellín,2026-01-18,0
E000082,2026-01-30 01:11:00,U00653,DITU,Morning News Live,Entertainment,Radio set,74,False,27,M,Medellín,2026-01-30,1
E000083,2026-01-16 09:47:00,U03218,Radio,Match Night,Entertainment,Mobile,48,False,41,M,Other,2026-01-16,9
E000084,2026-02-19 17:15:00,U01349,TV,Radio Morning Drive,Entertainment,Mobile,27,True,59,M,Bogotá,2026-02-19,17
E000085,2026-01-03 11:59:00,U01722,DITU,Weekend Special,Entertainment,Mobile,52,True,59,F,Bogotá,2026-01-03,11
E000086,2026-01-08 11:15:00,U03262,Portal,Weekend Special,Documentary,Smart TV,21,False,44,M,Other,2026-01-08,11
E000087,2026-02-15 03:04:00,U01482,DITU,Weekend Special,Entertainment,Mobile,41,False,16,M,Medellín,2026-02-15,3
E000088,2026-02-19 02:40:00,U01814,Radio,Prime Novela A,Sports,Mobile,30,False,45,M,Bucaramanga,2026-02-19,2
E000089,2026-01-30 16:11:00,U02496,Radio,Late Night Desk,Documentary,Tablet,27,False,28,F,Bogotá,2026-01-30,16
E000090,2026-02-08 19:48:00,U00592,TV,Talk Show Central,Entertainment,Desktop,30,True,69,F,Other,2026-02-08,19
E000091,2026-02-07 11:36:00,U04676,YouTube,Talk Show Central,Documentary,Mobile,13,False,37,F,Bogotá,2026-02-07,11
E000092,2026-03-10 05:08:00,U04908,TV,Prime Novela A,Kids,Smart TV,42,True,62,F,Cali,2026-03-10,5
E000093,2026-02-10 04:20:00,U03566,DITU,Streaming Exclusive 02,News,Mobile,33,False,31,F,Other,2026-02-10,4
E000094,2026-03-18 07:28:00,U00542,Radio,Talk Show Central,Kids,Mobile,21,False,19,F,Other,2026-03-18,7
E000095,2026-01-20 12:46:00,U02363,TV,Late Night Desk,Kids,Radio set,7,False,72,F,Bogotá,2026-01-20,12
E000096,2026-01-18 23:10:00,U01776,Radio,Prime Novela A,News,Mobile,24,False,23,F,Bogotá,2026-01-18,23
E000097,2026-02-06 08:02:00,U00832,Radio,Prime Novela A,Entertainment,Radio set,11,True,30,M,Bogotá,2026-02-06,8
E000098,2026-01-08 08:07:00,U04384,YouTube,Match Night,News,Mobile,21,False,49,M,Bucaramanga,2026-01-08,8
E000099,2026-03-02 09:28:00,U02076,DITU,Prime Novela B,Entertainment,Smart TV,30,False,40,M,Bogotá,2026-03-02,9
E000100,2026-02-05 03:36:00,U03264,TV,Morning News Live,Novela,Smart TV,15,False,66,M,Other,2026-02-05,3
E000101,2026-02-02 23:25:00,U03456,DITU,Regional Report,Novela,Mobile,46,False,67,M,Cali,2026-02-02,23
E000102,2026-02-18 01:45:00,U01599,TV,Match Night,Sports,Smart TV,48,True,65,M,Barranquilla,2026-02-18,1
E000103,2026-01-08 09:20:00,U01744,TV,Regional Report,Entertainment,Smart TV,19,False,17,F,Medellín,2026-01-08,9
E000104,2026-02-03 21:53:00,U04852,TV,Talk Show Central,Entertainment,Tablet,11,False,58,F,Bogotá,2026-02-03,21
E000105,2026-03-29 11:59:00,U04123,YouTube,Streaming Exclusive 02,Entertainment,Mobile,8,True,74,F,Bogotá,2026-03-29,11
E000106,2026-02-26 13:41:00,U02506,TV,Portal Catch-up,Sports,Smart TV,2,False,22,F,Medellín,2026-02-26,13
E000107,2026-02-21 15:47:00,U02668,DITU,Radio Morning Drive,Novela,Mobile,47,False,72,M,Barranquilla,2026-02-21,15
E000108,2026-02-15 12:12:00,U00041,YouTube,Prime Novela B,Entertainment,Mobile,16,False,25,M,Medellín,2026-02-15,12
E000109,2026-02-12 04:26:00,U01022,TV,Streaming Exclusive 01,Sports,Mobile,19,False,20,F,Other,2026-02-12,4
E000110,2026-03-26 07:06:00,U00031,DITU,YouTube Clip Hour,Novela,Mobile,17,False,42,F,Cali,2026-03-26,7
E000111,2026-03-25 17:34:00,U04030,TV,Streaming Exclusive 01,Sports,Smart TV,53,True,40,M,Bogotá,2026-03-25,17
E000112,2026-02-06 20:17:00,U04706,TV,YouTube Clip Hour,Sports,Smart TV,10,False,29,M,Medellín,2026-02-06,20
E000113,2026-03-25 05:24:00,U00811,TV,Prime Novela B,Sports,Mobile,15,False,18,M,Other,2026-03-25,5
E000114,2026-01-08 10:11:00,U01406,TV,Late Night Desk,Entertainment,Smart TV,25,True,25,F,Barranquilla,2026-01-08,10
E000115,2026-01-29 18:34:00,U01762,DITU,Morning News Live,Novela,Tablet,53,True,40,F,Other,2026-01-29,18
E000116,2026-01-28 04:10:00,U04061,TV,Weekend Special,Kids,Mobile,23,False,24,M,Medellín,2026-01-28,4
E000117,2026-03-04 18:04:00,U02037,DITU,Prime Novela A,News,Mobile,38,True,50,M,Barranquilla,2026-03-04,18
E000118,2026-02-24 12:43:00,U00218,YouTube,Kids Club,Entertainment,Desktop,16,False,21,M,Other,2026-02-24,12
E000119,2026-02-12 12:50:00,U02930,YouTube,Streaming Exclusive 01,Kids,Smart TV,37,True,54,M,Cali,2026-02-12,12
E000120,2026-01-24 01:00:00,U00735,DITU,Portal Catch-up,Sports,Tablet,27,True,28,M,Bogotá,2026-01-24,1
E000121,2026-02-15 14:50:00,U03226,Radio,Prime Novela B,Kids,Mobile,29,True,61,Other,Other,2026-02-15,14
E000122,2026-01-25 05:00:00,U04284,Portal,Radio Morning Drive,Documentary,Desktop,16,False,41,M,Bogotá,2026-01-25,5
E000123,2026-02-14 18:33:00,U00339,YouTube,Prime Novela A,Sports,Mobile,17,False,27,M,Medellín,2026-02-14,18
E000124,2026-01-31 13:28:00,U04971,DITU,Streaming Exclusive 01,Kids,Mobile,83,False,66,M,Bogotá,2026-01-31,13
E000125,2026-03-21 23:25:00,U03316,TV,Portal Catch-up,Sports,Smart TV,23,False,65,F,Bucaramanga,2026-03-21,23
E000126,2026-03-09 03:39:00,U00260,DITU,Portal Catch-up,Documentary,Smart TV,47,False,50,M,Cali,2026-03-09,3
E000127,2026-01-16 18:35:00,U01101,YouTube,Kids Club,Kids,Smart TV,1,False,44,M,Bogotá,2026-01-16,18
E000128,2026-03-26 14:41:00,U00839,Radio,Streaming Exclusive 02,Novela,Mobile,41,True,16,F,Bogotá,2026-03-26,14
E000129,2026-03-01 06:58:00,U04419,Radio,Streaming Exclusive 01,News,Mobile,39,False,58,Other,Bogotá,2026-03-01,6
E000130,2026-02-01 12:48:00,U03615,TV,Streaming Exclusive 02,Novela,Tablet,37,False,60,M,Medellín,2026-02-01,12
E000131,2026-02-17 17:47:00,U01865,Radio,Streaming Exclusive 02,Documentary,Radio set,29,False,65,M,Barranquilla,2026-02-17,17
E000132,2026-01-18 14:15:00,U02648,Portal,Match Night,Entertainment,Mobile,5,False,62,F,Medellín,2026-01-18,14
E000133,2026-01-05 05:08:00,U01742,YouTube,Kids Club,Documentary,Smart TV,13,False,59,F,Bucaramanga,2026-01-05,5
E000134,2026-02-07 20:34:00,U02030,Radio,Kids Club,Entertainment,Mobile,8,False,36,F,Cali,2026-02-07,20
E000135,2026-03-12 09:29:00,U03191,DITU,Regional Report,News,Radio set,23,False,16,M,Cali,2026-03-12,9
E000136,2026-02-01 15:58:00,U00973,DITU,Match Night,News,Mobile,38,False,44,F,Cali,2026-02-01,15
E000137,2026-02-04 13:58:00,U03799,Radio,Prime Novela A,News,Desktop,1,True,16,M,Bogotá,2026-02-04,13
E000138,2026-03-31 02:27:00,U04728,TV,Streaming Exclusive 02,Novela,Smart TV,21,False,68,F,Bogotá,2026-03-31,2
E000139,2026-03-30 20:27:00,U04871,YouTube,Kids Club,Sports,Smart TV,24,False,27,M,Bogotá,2026-03-30,20
E000140,2026-02-11 17:57:00,U00862,Portal,Talk Show Central,Novela,Tablet,1,True,70,M,Medellín,2026-02-11,17
E000141,2026-01-04 23:26:00,U02059,Radio,Radio Morning Drive,News,Mobile,26,False,39,M,Bogotá,2026-01-04,23
E000142,2026-03-03 03:15:00,U01327,TV,Streaming Exclusive 01,Kids,Smart TV,32,False,56,M,Bogotá,2026-03-03,3
E000143,2026-03-06 07:46:00,U03175,YouTube,Streaming Exclusive 01,Documentary,Smart TV,18,True,74,M,Medellín,2026-03-06,7
E000144,2026-03-24 05:46:00,U01622,TV,Talk Show Central,Sports,Mobile,25,False,16,M,Bucaramanga,2026-03-24,5
E000145,2026-03-27 07:47:00,U01974,Portal,Prime Novela A,Kids,Smart TV,16,False,36,F,Bogotá,2026-03-27,7
E000146,2026-02-26 14:46:00,U00693,DITU,Morning News Live,Entertainment,Mobile,67,False,70,F,Cali,2026-02-26,14
E000147,2026-01-10 15:23:00,U02800,YouTube,Streaming Exclusive 02,Entertainment,Smart TV,13,False,39,Other,Bogotá,2026-01-10,15
E000148,2026-01-23 10:39:00,U02682,Portal,Portal Catch-up,News,Smart TV,7,True,21,M,Medellín,2026-01-23,10
E000149,2026-03-06 12:01:00,U02758,YouTube,YouTube Clip Hour,Documentary,Mobile,12,False,53,F,Medellín,2026-03-06,12
E000150,2026-02-24 16:00:00,U01707,YouTube,Kids Club,News,Smart TV,10,True,74,M,Bogotá,2026-02-24,16
E000151,2026-02-09 05:42:00,U03780,DITU,Kids Club,Documentary,Smart TV,30,False,42,F,Bogotá,2026-02-09,5
E000152,2026-02-06 04:03:00,U03040,YouTube,Match Night,Kids,Smart TV,1,False,27,M,Bogotá,2026-02-06,4
E000153,2026-03-05 20:37:00,U00883,YouTube,Portal Catch-up,Documentary,Mobile,11,True,42,F,Other,2026-03-05,20
E000154,2026-02-08 00:16:00,U01840,Portal,Late Night Desk,Novela,Smart TV,23,True,48,F,Bucaramanga,2026-02-08,0
E000155,2026-01-14 22:19:00,U03304,TV,Prime Novela A,Sports,Mobile,34,False,32,F,Cali,2026-01-14,22
E000156,2026-03-30 03:20:00,U00583,DITU,Prime Novela A,Documentary,Desktop,38,False,22,F,Cali,2026-03-30,3
E000157,2026-02-01 10:40:00,U01762,DITU,Morning News Live,News,Smart TV,38,True,40,F,Other,2026-02-01,10
E000158,2026-01-26 01:45:00,U04363,TV,Morning News Live,News,Mobile,18,False,45,M,Bogotá,2026-01-26,1
E000159,2026-01-07 05:43:00,U02209,Portal,Streaming Exclusive 01,Kids,Mobile,27,False,29,M,Bogotá,2026-01-07,5
E000160,2026-02-12 04:53:00,U02549,YouTube,Morning News Live,Documentary,Mobile,2,False,43,M,Bogotá,2026-02-12,4
E000161,2026-03-30 18:11:00,U03408,TV,Streaming Exclusive 02,Sports,Smart TV,18,True,53,F,Cali,2026-03-30,18
E000162,2026-01-15 09:18:00,U01610,YouTube,Radio Morning Drive,Entertainment,Radio set,5,False,23,F,Medellín,2026-01-15,9
E000163,2026-01-23 00:33:00,U04133,DITU,YouTube Clip Hour,Kids,Mobile,35,False,59,F,Other,2026-01-23,0
E000164,2026-01-17 01:39:00,U00082,YouTube,YouTube Clip Hour,Documentary,Smart TV,22,False,41,M,Bucaramanga,2026-01-17,1
E000165,2026-01-09 11:09:00,U02364,TV,Streaming Exclusive 02,Kids,Smart TV,10,True,23,M,Bucaramanga,2026-01-09,11
E000166,2026-02-24 07:31:00,U02990,TV,YouTube Clip Hour,Kids,Mobile,28,False,41,M,Barranquilla,2026-02-24,7
E000167,2026-01-27 20:05:00,U01196,TV,Morning News Live,News,Smart TV,28,True,53,F,Medellín,2026-01-27,20
E000168,2026-03-09 14:11:00,U03913,DITU,Weekend Special,Documentary,Mobile,20,False,27,M,Medellín,2026-03-09,14
E000169,2026-02-06 01:23:00,U00398,YouTube,Talk Show Central,Sports,Smart TV,10,True,27,F,Bogotá,2026-02-06,1
E000170,2026-02-27 06:45:00,U03251,YouTube,Late Night Desk,News,Smart TV,4,True,35,F,Bogotá,2026-02-27,6
E000171,2026-01-09 01:05:00,U03167,TV,Kids Club,News,Mobile,26,True,60,F,Bogotá,2026-01-09,1
E000172,2026-01-30 15:15:00,U03939,YouTube,Prime Novela B,Novela,Desktop,11,False,58,M,Other,2026-01-30,15
E000173,2026-02-07 06:20:00,U01036,DITU,Regional Report,Sports,Smart TV,65,False,59,F,Bucaramanga,2026-02-07,6
E000174,2026-01-06 08:46:00,U00775,Portal,Weekend Special,Kids,Mobile,10,True,65,F,Barranquilla,2026-01-06,8
E000175,2026-02-07 17:39:00,U02903,TV,Prime Novela B,Documentary,Smart TV,22,True,66,F,Medellín,2026-02-07,17
E000176,2026-02-12 07:46:00,U04859,YouTube,Regional Report,News,Smart TV,9,True,31,M,Bogotá,2026-02-12,7
E000177,2026-02-06 08:17:00,U03925,YouTube,Prime Novela B,Entertainment,Radio set,22,False,53,F,Bogotá,2026-02-06,8
E000178,2026-02-15 09:13:00,U01057,YouTube,YouTube Clip Hour,News,Mobile,8,True,42,M,Medellín,2026-02-15,9
E000179,2026-03-13 18:01:00,U02040,DITU,Regional Report,News,Desktop,21,False,42,F,Medellín,2026-03-13,18
E000180,2026-03-11 08:36:00,U01334,TV,YouTube Clip Hour,News,Smart TV,15,False,63,M,Medellín,2026-03-11,8
E000181,2026-01-02 06:27:00,U03900,TV,Weekend Special,Sports,Mobile,15,True,70,M,Bucaramanga,2026-01-02,6
E000182,2026-02-27 15:01:00,U02562,Portal,YouTube Clip Hour,Kids,Mobile,12,True,37,F,Bogotá,2026-02-27,15
E000183,2026-03-23 08:48:00,U02188,YouTube,Match Night,News,Desktop,5,False,31,M,Medellín,2026-03-23,8
E000184,2026-03-20 09:55:00,U00026,YouTube,Radio Morning Drive,Kids,Desktop,12,False,53,F,Bogotá,2026-03-20,9
E000185,2026-01-30 02:26:00,U03169,YouTube,Radio Morning Drive,Kids,Smart TV,1,False,64,F,Cali,2026-01-30,2
E000186,2026-03-12 11:14:00,U02213,TV,Portal Catch-up,Novela,Mobile,31,True,51,M,Cali,2026-03-12,11
E000187,2026-03-14 02:06:00,U00199,DITU,Streaming Exclusive 02,Kids,Mobile,38,True,35,F,Medellín,2026-03-14,2
E000188,2026-02-02 22:17:00,U00979,YouTube,Match Night,Documentary,Mobile,24,True,36,F,Other,2026-02-02,22
E000189,2026-03-20 05:21:00,U03633,TV,Regional Report,News,Smart TV,30,False,18,F,Barranquilla,2026-03-20,5
E000190,2026-02-26 21:35:00,U03746,Radio,Prime Novela B,Kids,Desktop,47,True,74,F,Bogotá,2026-02-26,21
E000191,2026-03-09 14:23:00,U02469,TV,Kids Club,Kids,Mobile,49,True,17,F,Bogotá,2026-03-09,14
E000192,2026-03-09 06:08:00,U03789,YouTube,Kids Club,News,Smart TV,15,False,73,F,Bogotá,2026-03-09,6
E000193,2026-03-12 07:42:00,U03692,DITU,Prime Novela B,Sports,Mobile,34,False,52,F,Bogotá,2026-03-12,7
E000194,2026-03-28 02:51:00,U03079,Portal,Prime Novela A,Kids,Smart TV,9,True,28,F,Other,2026-03-28,2
E000195,2026-03-19 04:01:00,U01043,Portal,Match Night,Sports,Smart TV,32,True,40,F,Other,2026-03-19,4
E000196,2026-02-08 00:16:00,U02109,DITU,YouTube Clip Hour,Entertainment,Smart TV,19,False,32,Other,Bogotá,2026-02-08,0
E000197,2026-02-20 14:02:00,U04082,DITU,Late Night Desk,Kids,Desktop,17,False,32,M,Cali,2026-02-20,14
E000198,2026-02-28 08:17:00,U01552,Radio,Weekend Special,Documentary,Mobile,17,True,66,M,Barranquilla,2026-02-28,8
E000199,2026-03-19 02:08:00,U03301,YouTube,Radio Morning Drive,Documentary,Mobile,5,False,53,F,Medellín,2026-03-19,2
E000200,2026-02-05 08:09:00,U04138,TV,Prime Novela A,Kids,Radio set,25,True,31,M,Barranquilla,2026-02-05,8
E000201,2026-01-29 04:01:00,U02667,Portal,Prime Novela A,Documentary,Radio set,15,True,30,M,Medellín,2026-01-29,4
E000202,2026-03-08 09:42:00,U02536,DITU,Weekend Special,Sports,Desktop,47,False,73,M,Bogotá,2026-03-08,9
E000203,2026-03-27 21:00:00,U00939,TV,Streaming Exclusive 01,News,Smart TV,11,True,43,M,Bogotá,2026-03-27,21
E000204,2026-03-24 01:54:00,U02483,Portal,Late Night Desk,Novela,Desktop,9,False,26,Other,Bogotá,2026-03-24,1
E000205,2026-01-14 07:35:00,U00210,Radio,Portal Catch-up,Documentary,Mobile,43,False,61,M,Cali,2026-01-14,7
E000206,2026-03-24 17:31:00,U00568,TV,Kids Club,Kids,Smart TV,13,True,30,F,Bogotá,2026-03-24,17
E000207,2026-03-13 00:38:00,U02710,DITU,Streaming Exclusive 01,Entertainment,Desktop,13,False,67,F,Bogotá,2026-03-13,0
E000208,2026-01-15 03:18:00,U01092,TV,Talk Show Central,Documentary,Desktop,6,False,42,F,Bogotá,2026-01-15,3
E000209,2026-01-01 14:08:00,U01738,Radio,Match Night,Kids,Desktop,39,True,21,M,Other,2026-01-01,14
E000210,2026-01-19 08:50:00,U01803,Portal,Weekend Special,Kids,Mobile,17,True,42,F,Other,2026-01-19,8
E000211,2026-03-25 15:33:00,U02367,Radio,Regional Report,Sports,Mobile,37,False,35,F,Bogotá,2026-03-25,15
E000212,2026-03-09 22:38:00,U03495,TV,Match Night,Kids,Smart TV,39,False,70,M,Cali,2026-03-09,22
E000213,2026-02-21 18:39:00,U02231,TV,Radio Morning Drive,Kids,Mobile,28,True,53,F,Bogotá,2026-02-21,18
