team,player,matches,lb_attempted,lb_completed,avg_distance_m,avg_sprints,avg_top_speed,lb_completion_pct,score
Argentina,ARG_11,4,47,21,9515.75,15.5,31.175,44.7,48.0
Portugal,POR_10,4,23,13,9467.0,17.75,30.775,56.5,47.5
Spain,SPA_04,3,25,12,10211.666666666666,17.0,30.666666666666668,48.0,47.3
France,FRA_06,4,29,17,10288.0,9.5,29.05,58.6,46.8
Portugal,POR_02,4,41,18,9120.0,18.5,31.15,43.9,46.8
Argentina,ARG_04,4,36,22,8676.25,12.5,29.6,61.1,46.4
Spain,SPA_09,3,36,19,9657.333333333334,11.333333333333334,29.333333333333332,52.8,45.6
Japan,JAP_03,4,19,7,10682.0,19.5,29.85,36.8,45.5
Japan,JAP_02,4,42,19,10031.75,11.5,31.725,45.2,45.5
Argentina,ARG_06,4,43,18,9513.75,15.75,31.175,41.9,45.5
Portugal,POR_06,4,5,4,8512.5,20.0,31.450000000000003,80.0,45.2
Germany,GER_06,6,31,17,9045.833333333334,14.5,30.616666666666664,54.8,44.9
Netherlands,NET_08,2,10,8,9115.0,13.5,30.950000000000003,80.0,44.6
Germany,GER_02,6,32,14,9904.5,15.166666666666666,30.96666666666667,43.8,44.5
Colombia,COL_01,3,34,10,10891.0,17.0,32.0,29.4,44.3
England,ENG_01,4,32,14,10085.25,14.0,29.1,43.8,44.3
England,ENG_11,4,32,15,8655.75,18.25,28.825,46.9,43.3
England,ENG_02,4,36,17,8700.5,16.25,31.35,47.2,43.1
Portugal,POR_07,4,20,9,9600.0,18.25,30.3,45.0,43.0
Portugal,POR_05,4,36,13,9525.5,17.75,28.925,36.1,42.6
Colombia,COL_03,3,18,11,8314.666666666666,17.666666666666668,31.166666666666668,61.1,42.1
Morocco,MOR_07,4,41,21,7527.5,16.25,29.025,51.2,41.6
Colombia,COL_09,3,11,4,9598.333333333334,22.666666666666668,32.4,36.4,41.5
Netherlands,NET_02,2,16,11,8053.0,16.0,28.6,68.8,41.4
France,FRA_03,4,19,14,8382.75,10.5,31.35,73.7,41.1
England,ENG_06,4,28,14,9617.5,11.0,29.475,50.0,41.0
Portugal,POR_08,4,28,14,8435.0,16.5,29.525,50.0,40.8
Germany,GER_07,6,42,14,10427.333333333334,11.333333333333334,31.816666666666666,33.3,40.7
Portugal,POR_01,4,38,12,10576.75,12.25,31.85,31.6,40.5
Japan,JAP_07,4,39,16,9170.75,13.5,30.75,41.0,40.4
Colombia,COL_10,3,33,11,10527.666666666666,12.666666666666666,30.900000000000002,33.3,40.4
Morocco,MOR_02,4,35,16,9557.0,10.25,30.35,45.7,40.4
Japan,JAP_05,4,31,10,10307.25,14.5,31.45,32.3,40.2
Netherlands,NET_07,2,24,8,10355.0,15.5,34.400000000000006,33.3,40.2
Netherlands,NET_05,2,20,5,10224.0,20.5,31.5,25.0,40.1
Morocco,MOR_10,4,18,10,9352.25,12.5,30.025,55.6,40.0
Portugal,POR_11,4,35,10,10235.5,15.25,29.95,28.6,39.6
France,FRA_09,4,34,11,10647.5,11.5,30.175,32.4,39.6
USA,USA_09,1,16,1,11022.0,24.0,32.7,6.2,39.4
Spain,SPA_07,3,21,4,10739.666666666666,19.0,30.366666666666664,19.0,38.8
France,FRA_05,4,28,14,8418.5,14.25,32.15,50.0,38.7
Netherlands,NET_11,2,10,5,10630.5,10.0,29.799999999999997,50.0,38.6
Netherlands,NET_09,2,8,3,10336.5,16.0,31.7,37.5,38.3
England,ENG_05,4,12,6,10024.0,11.5,32.75,50.0,38.0
USA,USA_05,1,15,8,7982.0,19.0,32.8,53.3,37.9
Germany,GER_04,6,35,16,8479.166666666666,12.666666666666666,30.150000000000002,45.7,37.8
Brazil,BRA_10,1,3,3,8907.0,5.0,33.6,100.0,37.6
England,ENG_09,4,33,16,8030.25,13.5,29.8,48.5,37.3
Portugal,POR_03,4,49,7,10125.25,18.0,30.924999999999997,14.3,36.1
Spain,SPA_03,3,25,10,9883.333333333334,10.0,30.866666666666664,40.0,36.1
Spain,SPA_11,3,15,8,8251.666666666666,15.666666666666666,31.166666666666668,53.3,36.1
Spain,SPA_06,3,48,18,7992.666666666667,13.666666666666666,30.133333333333336,37.5,35.8
Spain,SPA_02,3,28,7,10568.0,12.666666666666666,29.566666666666666,25.0,35.8
Colombia,COL_07,3,14,10,7870.666666666667,10.666666666666666,30.53333333333333,71.4,35.7
Argentina,ARG_08,4,18,10,8835.25,10.25,30.75,55.6,35.6
USA,USA_06,1,15,6,7259.0,25.0,35.0,40.0,35.5
Spain,SPA_01,3,26,7,10447.333333333334,12.333333333333334,29.833333333333332,26.9,35.5
Germany,GER_09,6,35,11,9168.833333333334,14.166666666666666,30.816666666666666,31.4,35.3
USA,USA_04,1,5,4,8298.0,10.0,34.2,80.0,35.1
France,FRA_01,4,20,9,7733.0,18.5,31.65,45.0,35.0
Brazil,BRA_05,1,11,1,11269.0,17.0,29.0,9.1,34.9
USA,USA_10,1,12,8,7154.0,16.0,27.3,66.7,34.9
Morocco,MOR_04,4,28,6,10963.0,11.5,28.625,21.4,34.9
Netherlands,NET_03,2,20,12,7635.0,12.0,32.650000000000006,60.0,34.4
Netherlands,NET_01,2,23,6,9814.0,15.0,32.55,26.1,34.2
Argentina,ARG_09,4,41,14,9093.0,9.5,32.675,34.1,33.4
England,ENG_04,4,32,11,9003.25,12.0,30.775,34.4,33.3
Brazil,BRA_02,1,8,1,10897.0,16.0,29.4,12.5,33.2
Colombia,COL_05,3,16,5,8921.333333333334,16.666666666666668,31.5,31.2,32.4
England,ENG_07,4,28,6,8637.25,19.0,31.875,21.4,31.5
Japan,JAP_06,4,20,9,8007.25,11.75,29.225,45.0,30.0
USA,USA_07,1,13,3,10203.0,11.0,28.1,23.1,29.6
Germany,GER_01,6,61,10,8355.666666666666,15.5,30.933333333333334,16.4,28.5
Brazil,BRA_09,1,9,5,7589.0,11.0,34.5,55.6,27.5
England,ENG_03,4,25,2,9467.5,14.5,29.45,8.0,25.1
Netherlands,NET_10,2,31,9,7676.0,12.0,28.9,29.0,24.8
USA,USA_03,1,5,1,9901.0,7.0,34.7,20.0,22.5
Brazil,BRA_01,1,15,2,7921.0,17.0,29.9,13.3,21.8
Morocco,MOR_03,4,18,3,9456.0,7.75,30.075,16.7,21.7
Brazil,BRA_06,1,17,0,7537.0,15.0,28.4,0.0,13.7
USA,USA_11,1,2,0,6500.0,8.0,30.3,0.0,2.7
